size,result,time_us
51, 1.420302e+20, 20599
7, 1.576068, 190
70, -2.074662e+32, 51670
45, -1.870709e+16, 14466
58, -2.315550e+23, 29914
24, 45516.469380, 2629
47, -8.016139e+16, 16318
20, -1867.948099, 1729
9, 3.906547, 234
6, -0.462425, 95
74, 1.963457e+35, 60789
20, -46410.489088, 1713
11, -21.007601, 333
46, -3.094296e+17, 15352
21, 446.087347, 1958
66, -3.719037e+29, 43499
71, -1.822507e+34, 53828
63, -2.362288e+28, 38007
11, -0.140207, 360
25, 307287.775276, 2961
50, -5.966345e+18, 19458
15, 14.892721, 697
89, 6.995059e+45, 104565
61, -7.882811e+25, 34640
11, -17.283219, 348
71, 3.858354e+33, 53841
73, -3.750965e+34, 58457
80, 1.157618e+39, 76267
64, -9.339085e+28, 39690
16, -5.892024, 793
99, 2.320401e+54, 143052
91, 1.025990e+47, 111613
13, -9.691558, 486
83, -8.361364e+41, 85112
23, 232318.959161, 2431
95, 2.708022e+49, 126623
99, -1.876753e+54, 143059
46, 7.298789e+17, 15402
64, -6.305454e+27, 39701
51, -3.729991e+19, 20648
43, 2.198925e+15, 12712
84, 5.152221e+42, 88074
31, -437232669.141308, 5179
13, 23.267568, 472
22, -235227.501582, 2132
86, 4.127160e+41, 94460
28, 46107460.701708, 3926
92, -1.893716e+46, 115088
84, 3.711133e+41, 88048
80, 1.797213e+38, 76253
85, 1.977668e+43, 91337
86, 6.258987e+43, 94506
16, 979.728028, 809
33, -95987990.598303, 6107
