––––––––––––––––– TESTING ALGORITHM –––––––––––––––––

SOURCE = 

[ 0.380002, -0.243142, -0.319746]

[0.0108368, -0.484536,  0.687704]

[ 0.182981, -0.585236, -0.862444]

[ 0.109570,  0.252524, -0.180186]

Q = 

[ -0.871769,   0.151698,   0.293328,  -0.361890]
68,60,14385,1.090942e-05

60,68,15157,1.224248e-05

68,62,15158,1.097710e-05

62,68,15742,1.209144e-05

68,64,15495,1.197708e-05

64,68,16168,1.173530e-05

68,66,16280,1.226964e-05

66,68,16725,1.210501e-05

68,68,16598,1.331497e-05

70,26,2765,5.920167e-06

26,70,5061,7.399475e-06

70,28,3084,6.262470e-06

28,70,5638,7.922514e-06

70,30,3432,5.630956e-06

30,70,6073,8.174645e-06

70,32,3769,6.469629e-06

32,70,6702,8.876567e-06

70,34,4136,7.246128e-06

34,70,7301,9.038913e-06

70,36,4515,6.791923e-06

36,70,8018,8.761273e-06

70,38,4914,8.077703e-06

38,70,8493,9.181636e-06

70,40,5306,7.505160e-06

40,70,9218,8.850813e-06

70,42,5758,7.796397e-06

42,70,9894,1.003554e-05

70,44,6146,7.637223e-06

44,70,10673,9.757633e-06

70,46,6589,8.140879e-06

46,70,11174,1.074883e-05

70,48,7037,8.712016e-06

48,70,12053,0.995219e-05

70,50,12070,9.165845e-06

50,70,13074,1.126156e-05

70,52,12460,9.583311e-06

52,70,13642,1.163242e-05

70,54,13249,1.038654e-05

54,70,14157,1.252911e-05

70,56,13589,1.085381e-05

